date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:15	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Sep%202021%2008:22:12%20GMT	https://pythonexercises.rozh2sch.org.ua/robots.txt		(from )
11:22:16	1196174/1196174	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2017:49:23%20GMT	https://pythonexercises.rozh2sch.org.ua/	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/index.html	(from )
11:22:17	73625/73625	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Dec%202020%2020:51:13%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:17	852/852	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Dec%202020%2020:50:33%20GMT	https://pythonexercises.rozh2sch.org.ua/highlight/styles/arta.min.css	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/highlight/styles/arta.min.css	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:17	1460/1460	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Dec%202020%2017:49:35%20GMT	https://pythonexercises.rozh2sch.org.ua/images/favicon.svg	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/favicon.svg	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:17	24684/24684	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Dec%202020%2020:51:12%20GMT	https://pythonexercises.rozh2sch.org.ua/css/googlefonts.css	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/googlefonts.css	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:18	160100/160100	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2020:51:01%20GMT	https://pythonexercises.rozh2sch.org.ua/images/pdownloads.png	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/pdownloads.png	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:18	10097/10097	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2020:51:02%20GMT	https://pythonexercises.rozh2sch.org.ua/images/python_session_windows.png	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/python_session_windows.png	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:18	19332/19332	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2020:51:02%20GMT	https://pythonexercises.rozh2sch.org.ua/images/python_session_linux_ubuntu.png	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/python_session_linux_ubuntu.png	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:18	10957/10957	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2020:51:01%20GMT	https://pythonexercises.rozh2sch.org.ua/images/hello_python_windows.png	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/hello_python_windows.png	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:18	24957/24957	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:50:52%20GMT	https://pythonexercises.rozh2sch.org.ua/images/808.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/808.gif	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:19	507906/507906	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:51:02%20GMT	https://pythonexercises.rozh2sch.org.ua/images/python39_install_windows.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/python39_install_windows.gif	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:19	488295/488295	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:50:57%20GMT	https://pythonexercises.rozh2sch.org.ua/images/gif_idle_linux_ubuntu.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/gif_idle_linux_ubuntu.gif	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:20	631806/631806	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:51:00%20GMT	https://pythonexercises.rozh2sch.org.ua/images/gif_vscode_windows.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/gif_vscode_windows.gif	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:21	1026869/1026869	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:50:59%20GMT	https://pythonexercises.rozh2sch.org.ua/images/gif_notepad++_windows.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/gif_notepad++_windows.gif	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:21	532818/532818	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:50:59%20GMT	https://pythonexercises.rozh2sch.org.ua/images/gif_pyscripter_windows.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/gif_pyscripter_windows.gif	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:21	52736/52736	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:51:01%20GMT	https://pythonexercises.rozh2sch.org.ua/images/gif_wingide101_windows.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/gif_wingide101_windows.gif	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:21	93452/93452	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:50:56%20GMT	https://pythonexercises.rozh2sch.org.ua/images/gif_geany_windows.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/gif_geany_windows.gif	(from https://pythonexercises.rozh2sch.org.ua/)
11:22:22	554916/554916	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Dec%202020%2020:50:56%20GMT	https://pythonexercises.rozh2sch.org.ua/images/gif_geany_linux_ubuntu.gif	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/images/gif_geany_linux_ubuntu.gif	(from https://pythonexercises.rozh2sch.org.ua/)
